date,time,source_ip,http_method,path,attack_type,raw_log
2026-01-15,14:19:10,192.168.1.16,GET,/sitemap.xml,unknown,"2026-01-15 14:19:10,808 (glastopf.glastopf) 192.168.1.16 requested GET /sitemap.xml on 192.168.1.11:8080"
2026-01-15,14:19:10,192.168.1.16,GET,/robots.txt,unknown,"2026-01-15 14:19:10,826 (glastopf.glastopf) 192.168.1.16 requested GET /robots.txt on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:10,908 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /sitemap.xml]"
,,192.168.1.16,,,robots,"2026-01-15 14:19:10,945 (python-logstash-handler) Glaspot: robots attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /robots.txt]"
2026-01-15,14:19:10,192.168.1.16,GET,/index2.php?second,unknown,"2026-01-15 14:19:10,947 (glastopf.glastopf) 192.168.1.16 requested GET /index2.php?second on 192.168.1.11:8080"
2026-01-15,14:19:10,192.168.1.16,GET,/style.css,unknown,"2026-01-15 14:19:10,960 (glastopf.glastopf) 192.168.1.16 requested GET /style.css on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:10,999 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /index2.php?second]"
,,192.168.1.16,,,style_css,"2026-01-15 14:19:11,047 (python-logstash-handler) Glaspot: style_css attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /style.css]"
2026-01-15,14:19:11,192.168.1.16,GET,/index3.php?channel,unknown,"2026-01-15 14:19:11,048 (glastopf.glastopf) 192.168.1.16 requested GET /index3.php?channel on 192.168.1.11:8080"
2026-01-15,14:19:11,192.168.1.16,GET,/down*.php?pageweb,unknown,"2026-01-15 14:19:11,077 (glastopf.glastopf) 192.168.1.16 requested GET /down*.php?pageweb on 192.168.1.11:8080"
2026-01-15,14:19:11,192.168.1.16,GET,/gallery.php?sec,unknown,"2026-01-15 14:19:11,088 (glastopf.glastopf) 192.168.1.16 requested GET /gallery.php?sec on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,204 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58880 against 192.168.1.11:8080.[GET /index3.php?channel]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,223 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58890 against 192.168.1.11:8080.[GET /down*.php?pageweb]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,243 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /gallery.php?sec]"
2026-01-15,14:19:11,192.168.1.16,GET,/info.php?incl,unknown,"2026-01-15 14:19:11,246 (glastopf.glastopf) 192.168.1.16 requested GET /info.php?incl on 192.168.1.11:8080"
2026-01-15,14:19:11,192.168.1.16,POST,/index,unknown,"2026-01-15 14:19:11,277 (glastopf.glastopf) 192.168.1.16 requested POST /index on 192.168.1.11:8080"
,,192.168.1.16,,,phpinfo,"2026-01-15 14:19:11,336 (python-logstash-handler) Glaspot: phpinfo attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /info.php?incl]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,356 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[POST /index]"
2026-01-15,14:19:11,192.168.1.16,GET,/tree.dat,unknown,"2026-01-15 14:19:11,618 (glastopf.glastopf) 192.168.1.16 requested GET /tree.dat on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,683 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /tree.dat]"
2026-01-15,14:19:11,192.168.1.16,POST,/comments,unknown,"2026-01-15 14:19:11,685 (glastopf.glastopf) 192.168.1.16 requested POST /comments on 192.168.1.11:8080"
2026-01-15,14:19:11,192.168.1.16,GET,/index.php?open,unknown,"2026-01-15 14:19:11,834 (glastopf.glastopf) 192.168.1.16 requested GET /index.php?open on 192.168.1.11:8080"
2026-01-15,14:19:11,192.168.1.16,GET,/standard.php?z,unknown,"2026-01-15 14:19:11,843 (glastopf.glastopf) 192.168.1.16 requested GET /standard.php?z on 192.168.1.11:8080"
